"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.040612838E2,5.233496057E1,4.863927611E0,3.447613180E0,NaN,NaN,3.800000000E1,1.951391220E1
3.043688638E2,5.233496045E1,4.863927270E0,3.463088691E0,NaN,NaN,3.800000000E1,1.664788437E1
3.102354868E2,5.233487505E1,4.863925523E0,3.899676979E0,NaN,NaN,3.500000000E1,1.944993210E1
3.106351178E2,5.233488042E1,4.863918011E0,4.056341425E0,NaN,NaN,3.500000000E1,1.669656754E1
3.139199638E2,5.233481234E1,4.863913412E0,4.179087073E0,NaN,NaN,3.500000000E1,1.780025101E1
3.167725468E2,5.233476203E1,4.863926466E0,4.394116104E0,NaN,NaN,3.500000000E1,1.792167473E1
3.191064348E2,5.233473885E1,4.863931558E0,4.442989737E0,NaN,NaN,3.500000000E1,1.757835770E1
3.225897167E2,5.233473604E1,4.863932745E0,4.477714449E0,NaN,NaN,3.500000000E1,1.828467560E1
3.234774578E2,5.233474037E1,4.863932138E0,4.495513231E0,NaN,NaN,3.500000000E1,1.651210976E1
3.294808148E2,5.233490843E1,4.863924043E0,4.001612067E0,NaN,NaN,3.500000000E1,1.948649597E1
3.297973807E2,5.233493130E1,4.863910578E0,3.891878769E0,NaN,NaN,3.522758053E1,1.664077187E1
3.358046527E2,5.233496608E1,4.863895947E0,3.787294537E0,NaN,NaN,3.800000000E1,1.952507019E1
3.363137788E2,5.233496160E1,4.863905909E0,3.708686739E0,NaN,NaN,3.800000000E1,1.683667564E1
3.376246218E2,5.233496044E1,4.863911269E0,3.659132361E0,NaN,NaN,3.800000000E1,1.615177917E1
3.436368458E2,5.233484139E1,4.863915542E0,4.021496236E0,NaN,NaN,3.500000000E1,1.938950157E1
3.438540598E2,5.233483552E1,4.863915582E0,4.174143463E0,NaN,NaN,3.500000000E1,1.649309540E1
3.459508418E2,5.233482320E1,4.863915841E0,4.284333915E0,NaN,NaN,3.500000000E1,1.672986221E1
3.497826278E2,5.233481654E1,4.863934567E0,4.334826365E0,NaN,NaN,3.500000000E1,1.821065331E1
3.499740308E2,5.233482208E1,4.863936763E0,4.358748585E0,NaN,NaN,3.500000000E1,1.577372932E1
3.559742928E2,5.233492022E1,4.863948002E0,3.863649964E0,NaN,NaN,3.500000000E1,1.927601433E1
3.619770818E2,5.233494263E1,4.863947201E0,3.591070950E0,NaN,NaN,3.500000000E1,2.026804733E1
3.679863818E2,5.233494917E1,4.863901980E0,3.625793755E0,NaN,NaN,3.800000000E1,2.054832077E1
3.684599557E2,5.233495244E1,4.863907863E0,3.579041958E0,NaN,NaN,3.800000000E1,1.735303307E1
3.707762428E2,5.233489473E1,4.863918827E0,3.883123368E0,NaN,NaN,3.500000000E1,1.731241989E1
3.745138147E2,5.233482878E1,4.863934091E0,4.088341057E0,NaN,NaN,3.500000000E1,1.835972786E1
3.768692668E2,5.233476668E1,4.863934164E0,4.284938872E0,NaN,NaN,3.500000000E1,1.778635597E1
3.787879588E2,5.233473958E1,4.863933045E0,4.367423117E0,NaN,NaN,3.500000000E1,1.717961121E1
3.809081507E2,5.233473566E1,4.863932177E0,4.415799677E0,NaN,NaN,3.500000000E1,1.706920815E1
3.869147658E2,5.233490403E1,4.863924527E0,3.939156115E0,NaN,NaN,3.500000000E1,1.964610100E1
3.869478208E2,5.233491631E1,4.863923931E0,3.754550487E0,NaN,NaN,3.500000000E1,1.646691895E1
3.929612288E2,5.233494922E1,4.863943021E0,3.537810326E0,NaN,NaN,3.500000000E1,1.947922897E1
3.930875688E2,5.233494151E1,4.863944730E0,3.459865808E0,NaN,NaN,3.500000000E1,1.645863152E1
3.990971028E2,5.233494967E1,4.863904159E0,3.537870884E0,NaN,NaN,3.800000000E1,1.947475433E1
3.995504908E2,5.233495274E1,4.863909059E0,3.541990280E0,NaN,NaN,3.800000000E1,1.675911140E1
4.008510597E2,5.233495505E1,4.863910261E0,3.544608176E0,NaN,NaN,3.800000000E1,1.610062408E1
4.068564578E2,5.233484368E1,4.863931106E0,3.956721693E0,NaN,NaN,3.500000000E1,1.937122536E1
4.069006998E2,5.233486431E1,4.863924182E0,4.124141380E0,NaN,NaN,3.500000000E1,1.631670380E1
4.129121948E2,5.233492318E1,4.863901782E0,3.920174703E0,NaN,NaN,3.800000000E1,1.943569756E1
4.134090227E2,5.233494471E1,4.863913695E0,3.774191022E0,NaN,NaN,3.800000000E1,1.677688217E1
4.194167408E2,5.233496107E1,4.863908908E0,3.670342833E0,NaN,NaN,3.800000000E1,1.956386185E1
4.198312078E2,5.233496149E1,4.863919083E0,3.597635090E0,NaN,NaN,3.800000000E1,1.677304077E1
4.258355628E2,5.233495699E1,4.863911489E0,3.522631526E0,NaN,NaN,3.800000000E1,1.956095505E1
4.262305438E2,5.233495866E1,4.863919290E0,3.500783503E0,NaN,NaN,3.800000000E1,1.675384140E1
4.322363707E2,5.233495879E1,4.863923606E0,3.463650882E0,NaN,NaN,3.800000000E1,1.955631256E1
4.327469068E2,5.233496109E1,4.863929172E0,3.442463100E0,NaN,NaN,3.800000000E1,1.685491943E1
4.387515708E2,5.233489363E1,4.863927684E0,3.768856019E0,NaN,NaN,3.500000000E1,1.958432388E1
4.447628128E2,5.233482782E1,4.863931297E0,3.768878907E0,NaN,NaN,3.933333333E1,1.958432388E1
4.507722358E2,5.233481959E1,4.863932488E0,3.768878907E0,NaN,NaN,3.933333333E1,1.958432388E1
4.567840288E2,5.233482558E1,4.863932310E0,3.768878907E0,NaN,NaN,3.933333333E1,1.958432388E1
4.627944397E2,5.233482792E1,4.863932129E0,3.768878907E0,NaN,NaN,3.933333333E1,1.958432388E1
4.687108188E2,5.233495794E1,4.863869151E0,3.169312954E0,NaN,NaN,3.500000000E1,2.031482887E1
4.724448377E2,5.233489035E1,4.863894281E0,3.652939260E0,NaN,NaN,3.500000000E1,1.944174957E1
4.752980168E2,5.233482497E1,4.863916308E0,4.009908825E0,NaN,NaN,3.500000000E1,1.858568573E1
4.813050758E2,5.233492019E1,4.863902133E0,3.849499017E0,NaN,NaN,3.800000000E1,2.007562637E1
4.820544957E2,5.233494699E1,4.863914065E0,3.725101352E0,NaN,NaN,3.800000000E1,1.733324242E1
4.880620988E2,5.233494497E1,4.863942084E0,3.540634811E0,NaN,NaN,3.500000000E1,1.972145271E1
4.884004108E2,5.233493914E1,4.863944684E0,3.475987494E0,NaN,NaN,3.500000000E1,1.679156494E1
4.944067737E2,5.233494576E1,4.863904813E0,3.544999003E0,NaN,NaN,3.800000000E1,1.956728935E1
4.947744718E2,5.233494692E1,4.863898809E0,3.582357407E0,NaN,NaN,3.800000000E1,1.673263168E1
4.960726238E2,5.233494810E1,4.863892841E0,3.606137931E0,NaN,NaN,3.800000000E1,1.608420563E1
