"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.026500540E2,5.233488981E1,4.863913067E0,4.732892990E0,NaN,NaN,3.500000000E1,1.668810272E1
2.039626120E2,5.233489063E1,4.863912814E0,4.733392298E0,NaN,NaN,3.500000000E1,1.607526398E1
2.099730049E2,5.233483975E1,4.863928360E0,4.733927906E0,NaN,NaN,3.933333333E1,1.936686707E1
2.103705850E2,5.233488145E1,4.863915620E0,4.739708066E0,NaN,NaN,3.500000000E1,1.664850044E1
2.116875089E2,5.233489534E1,4.863911377E0,4.743444502E0,NaN,NaN,3.500000000E1,1.605878830E1
2.176975520E2,5.233484147E1,4.863927838E0,4.747342646E0,NaN,NaN,3.933333333E1,1.936201859E1
2.180958899E2,5.233487810E1,4.863916663E0,4.695310116E0,NaN,NaN,3.500000000E1,1.664649582E1
2.194109790E2,5.233488887E1,4.863913380E0,4.661823034E0,NaN,NaN,3.500000000E1,1.605586815E1
2.254207530E2,5.233483287E1,4.863930469E0,4.627100170E0,NaN,NaN,3.933333333E1,1.936104393E1
2.258180000E2,5.233488061E1,4.863915880E0,4.660180032E0,NaN,NaN,3.500000000E1,1.664494705E1
2.271359600E2,5.233489831E1,4.863910467E0,4.681507409E0,NaN,NaN,3.500000000E1,1.605796623E1
2.331465449E2,5.233483447E1,4.863929973E0,4.703657389E0,NaN,NaN,3.933333333E1,1.936209106E1
2.335424989E2,5.233486283E1,4.863921135E0,4.711321533E0,NaN,NaN,3.500000000E1,1.664434052E1
2.348965930E2,5.233487151E1,4.863918410E0,4.716291487E0,NaN,NaN,3.500000000E1,1.609419441E1
2.409068310E2,5.233482913E1,4.863931564E0,4.721435010E0,NaN,NaN,3.933333333E1,1.937212753E1
2.413211219E2,5.233488050E1,4.863915896E0,4.729310930E0,NaN,NaN,3.500000000E1,1.666678429E1
2.426755739E2,5.233490032E1,4.863909861E0,4.734406888E0,NaN,NaN,3.500000000E1,1.610632515E1
2.486862609E2,5.233483639E1,4.863929411E0,4.739686668E0,NaN,NaN,3.933333333E1,1.937580490E1
2.495579860E2,5.233487528E1,4.863917513E0,4.748444319E0,NaN,NaN,3.500000000E1,1.707430840E1
2.510170389E2,5.233489138E1,4.863912590E0,4.753934145E0,NaN,NaN,3.500000000E1,1.641969490E1
2.570244349E2,5.233483424E1,4.863930045E0,4.759359598E0,NaN,NaN,3.933333333E1,1.946255875E1
2.630519550E2,5.233482121E1,4.863934027E0,4.762774050E0,NaN,NaN,3.933333333E1,2.033181572E1
2.634601279E2,5.233486881E1,4.863919483E0,4.764916360E0,NaN,NaN,3.500000000E1,1.718427658E1
2.649826549E2,5.233488737E1,4.863913812E0,4.766263366E0,NaN,NaN,3.500000000E1,1.653554916E1
2.709928540E2,5.233483720E1,4.863929141E0,4.767589986E0,NaN,NaN,3.933333333E1,1.949688339E1
2.714016570E2,5.233488251E1,4.863915296E0,4.760313213E0,NaN,NaN,3.500000000E1,1.673093414E1
2.726666030E2,5.233489945E1,4.863910120E0,4.755716622E0,NaN,NaN,3.500000000E1,1.604966927E1
2.786771070E2,5.233483476E1,4.863929888E0,4.750969470E0,NaN,NaN,3.933333333E1,1.935970306E1
2.790856150E2,5.233487234E1,4.863918404E0,4.757594109E0,NaN,NaN,3.500000000E1,1.665456581E1
2.805322350E2,5.233488461E1,4.863914657E0,4.761941016E0,NaN,NaN,3.500000000E1,1.619208908E1
2.865415920E2,5.233483269E1,4.863930520E0,4.766385734E0,NaN,NaN,3.933333333E1,1.939928818E1
2.870452280E2,5.233488209E1,4.863915425E0,4.768283963E0,NaN,NaN,3.500000000E1,1.676309395E1
2.883452979E2,5.233488485E1,4.863914582E0,4.769506931E0,NaN,NaN,3.500000000E1,1.610222244E1
2.943527660E2,5.233483526E1,4.863929734E0,4.770782351E0,NaN,NaN,3.933333333E1,1.937283897E1
2.948847430E2,5.233487646E1,4.863917146E0,4.765128374E0,NaN,NaN,3.500000000E1,1.677420616E1
2.961840140E2,5.233489020E1,4.863912947E0,4.761557400E0,NaN,NaN,3.500000000E1,1.611194801E1
3.021942260E2,5.233483937E1,4.863928480E0,4.757905066E0,NaN,NaN,3.933333333E1,1.937712479E1
3.027463880E2,5.233488653E1,4.863914070E0,4.768082023E0,NaN,NaN,3.500000000E1,1.679470444E1
3.040252429E2,5.233488807E1,4.863913598E0,4.774525881E0,NaN,NaN,3.500000000E1,1.609754562E1
3.100318490E2,5.233483848E1,4.863928752E0,4.781181574E0,NaN,NaN,3.933333333E1,1.937103271E1
3.104172100E2,5.233487985E1,4.863916111E0,4.770975351E0,NaN,NaN,3.500000000E1,1.663956642E1
3.120240500E2,5.233489370E1,4.863911881E0,4.764171302E0,NaN,NaN,3.500000000E1,1.634152794E1
3.180301170E2,5.233491049E1,4.863906749E0,4.773241937E0,NaN,NaN,3.500000000E1,1.943971062E1
3.185140870E2,5.233490133E1,4.863909547E0,4.779121816E0,NaN,NaN,3.500000000E1,1.676748657E1
3.201378200E2,5.233489750E1,4.863910720E0,4.782994986E0,NaN,NaN,3.500000000E1,1.642202568E1
3.261476979E2,5.233490240E1,4.863909249E0,4.785608709E0,NaN,NaN,3.500000000E1,1.946458626E1
3.266347650E2,5.233490338E1,4.863908966E0,4.786236107E0,NaN,NaN,3.500000000E1,1.678390312E1
3.279345900E2,5.233490505E1,4.863908478E0,4.786633372E0,NaN,NaN,3.500000000E1,1.611295128E1
3.339449530E2,5.233483760E1,4.863929033E0,4.787065089E0,NaN,NaN,3.933333333E1,1.937749481E1
3.344690580E2,5.233487267E1,4.863918307E0,4.785451591E0,NaN,NaN,3.500000000E1,1.676965141E1
3.357729549E2,5.233488551E1,4.863914378E0,4.784436166E0,NaN,NaN,3.500000000E1,1.610953140E1
3.417834470E2,5.233483132E1,4.863930932E0,4.783417523E0,NaN,NaN,3.933333333E1,1.937660027E1
3.423390800E2,5.233488306E1,4.863915126E0,4.778179049E0,NaN,NaN,3.500000000E1,1.679753685E1
3.436141270E2,5.233488915E1,4.863913269E0,4.774897933E0,NaN,NaN,3.500000000E1,1.609520531E1
3.496243989E2,5.233483274E1,4.863930506E0,4.771531761E0,NaN,NaN,3.933333333E1,1.937243080E1
3.500270100E2,5.233487648E1,4.863917140E0,4.758276582E0,NaN,NaN,3.500000000E1,1.665622711E1
3.513386049E2,5.233489288E1,4.863912129E0,4.749769509E0,NaN,NaN,3.500000000E1,1.605746078E1
3.573482900E2,5.233483355E1,4.863930259E0,4.740967691E0,NaN,NaN,3.933333333E1,1.936144257E1
3.577481620E2,5.233487552E1,4.863917193E0,4.741482615E0,NaN,NaN,3.500000000E1,1.664758873E1
3.590624260E2,5.233487353E1,4.863917785E0,4.732217073E0,NaN,NaN,3.500000000E1,1.605560875E1
3.650690870E2,5.233482873E1,4.863931693E0,4.722612023E0,NaN,NaN,3.933333333E1,1.935921860E1
3.654685210E2,5.233487458E1,4.863917712E0,4.736191511E0,NaN,NaN,3.500000000E1,1.664594460E1
3.667860399E2,5.233489149E1,4.863912570E0,4.744952798E0,NaN,NaN,3.500000000E1,1.605804443E1
3.727961190E2,5.233483880E1,4.863928702E0,4.754063547E0,NaN,NaN,3.933333333E1,1.936182976E1
3.732083200E2,5.233488823E1,4.863913571E0,4.748049021E0,NaN,NaN,3.500000000E1,1.665914154E1
3.745126660E2,5.233488738E1,4.863913822E0,4.755060017E0,NaN,NaN,3.500000000E1,1.605164337E1
3.805229300E2,5.233483660E1,4.863929348E0,4.762350321E0,NaN,NaN,3.933333333E1,1.936012650E1
3.809289560E2,5.233487801E1,4.863916682E0,4.768370271E0,NaN,NaN,3.500000000E1,1.665251923E1
3.822374810E2,5.233489187E1,4.863912442E0,4.772255242E0,NaN,NaN,3.500000000E1,1.605238724E1
3.882472069E2,5.233483968E1,4.863928395E0,4.776311159E0,NaN,NaN,3.933333333E1,1.936003304E1
3.886550690E2,5.233487378E1,4.863917969E0,4.776679099E0,NaN,NaN,3.500000000E1,1.665415382E1
3.899623960E2,5.233488261E1,4.863915270E0,4.776927829E0,NaN,NaN,3.500000000E1,1.605203438E1
3.959727809E2,5.233483593E1,4.863929536E0,4.777205169E0,NaN,NaN,3.933333333E1,1.936030579E1
3.963740180E2,5.233483039E1,4.863931226E0,4.777316570E0,NaN,NaN,3.933333333E1,1.664821053E1
3.976855410E2,5.233482480E1,4.863932934E0,4.777388275E0,NaN,NaN,3.933333333E1,1.605315399E1
4.037003120E2,5.233481343E1,4.863936409E0,4.777462721E0,NaN,NaN,3.933333333E1,1.936308861E1
4.041080490E2,5.233484999E1,4.863925391E0,4.778226376E0,NaN,NaN,3.500000000E1,1.665573883E1
4.054114500E2,5.233486218E1,4.863921729E0,4.778720379E0,NaN,NaN,3.500000000E1,1.604888535E1
4.114218000E2,5.233483433E1,4.863930113E0,4.779252708E0,NaN,NaN,3.933333333E1,1.935939407E1
4.118350960E2,5.233486566E1,4.863920681E0,4.781158745E0,NaN,NaN,3.500000000E1,1.665879440E1
4.131363059E2,5.233487731E1,4.863917180E0,4.782388210E0,NaN,NaN,3.500000000E1,1.604827499E1
4.191466050E2,5.233484088E1,4.863928123E0,4.790037990E0,NaN,NaN,3.933333333E1,1.935919380E1
4.195500250E2,5.233485973E1,4.863922448E0,4.793320358E0,NaN,NaN,3.500000000E1,1.664960098E1
4.208610929E2,5.233486695E1,4.863920280E0,4.795435548E0,NaN,NaN,3.500000000E1,1.605342865E1
4.268707570E2,5.233483499E1,4.863929873E0,4.797650158E0,NaN,NaN,3.933333333E1,1.936029243E1
4.272741050E2,5.233488179E1,4.863915536E0,4.794437647E0,NaN,NaN,3.500000000E1,1.665014648E1
4.285449780E2,5.233491829E1,4.863904362E0,4.792387247E0,NaN,NaN,3.500000000E1,1.601277542E1
4.345547520E2,5.233485150E1,4.863924737E0,4.790296495E0,NaN,NaN,3.933333333E1,1.934887695E1
4.410245750E2,5.233482224E1,4.863933705E0,4.788900793E0,NaN,NaN,3.933333333E1,2.050047493E1
4.414432070E2,5.233487626E1,4.863917204E0,4.779365361E0,NaN,NaN,3.500000000E1,1.728268814E1
4.426980910E2,5.233489786E1,4.863910607E0,4.773690701E0,NaN,NaN,3.500000000E1,1.633078957E1
4.487079049E2,5.233483764E1,4.863929010E0,4.768055916E0,NaN,NaN,3.933333333E1,1.943874741E1
4.491135300E2,5.233487446E1,4.863917758E0,4.763298869E0,NaN,NaN,3.500000000E1,1.669583702E1
4.504224319E2,5.233488606E1,4.863914212E0,4.760269284E0,NaN,NaN,3.500000000E1,1.607564354E1
4.564329280E2,5.233483167E1,4.863930830E0,4.757157564E0,NaN,NaN,3.933333333E1,1.936703300E1
4.572309510E2,5.233489538E1,4.863929559E0,4.755766273E0,NaN,NaN,3.500000000E1,1.700623131E1
4.632343780E2,5.233483752E1,4.863935357E0,4.754574001E0,NaN,NaN,3.933333333E1,1.962655067E1
4.636436510E2,5.233487437E1,4.863919929E0,4.754218340E0,NaN,NaN,3.500000000E1,1.680289078E1
4.651175640E2,5.233488268E1,4.863915420E0,4.754007339E0,NaN,NaN,3.500000000E1,1.629526520E1
4.711282220E2,5.233483402E1,4.863927757E0,4.753811121E0,NaN,NaN,3.933333333E1,1.942917252E1
