"Time (s)","X (hPa)"
1.791304186E2,1.015210114E3
1.802058956E2,1.015210114E3
1.812814296E2,1.015211105E3
1.823569666E2,1.015210342E3
1.834325106E2,1.015210495E3
1.845080496E2,1.015210342E3
1.855835716E2,1.015208054E3
1.866590736E2,1.015208054E3
1.877345926E2,1.015208054E3
1.888100906E2,1.015208206E3
1.898855856E2,1.015210724E3
1.909610906E2,1.015210953E3
1.920365716E2,1.015212173E3
1.931120896E2,1.015213013E3
1.941876016E2,1.015214767E3
1.952631296E2,1.015214767E3
1.963386536E2,1.015218582E3
1.974141396E2,1.015221329E3
1.984896036E2,1.015223389E3
1.995650766E2,1.015229950E3
2.006405356E2,1.015230942E3
2.017160106E2,1.015231171E3
2.027914896E2,1.015232391E3
2.038669656E2,1.015231171E3
2.049424216E2,1.015229111E3
2.060178656E2,1.015227356E3
2.070933506E2,1.015226898E3
2.081688286E2,1.015226898E3
2.092443086E2,1.015226974E3
2.103198126E2,1.015226974E3
2.113953076E2,1.015224991E3
2.124708056E2,1.015223160E3
2.135462946E2,1.015221024E3
2.146218136E2,1.015217056E3
2.156973046E2,1.015215988E3
2.167728056E2,1.015215988E3
2.178483116E2,1.015215759E3
2.189238336E2,1.015215759E3
2.199993616E2,1.015212784E3
2.210749236E2,1.015212784E3
2.221504606E2,1.015213623E3
2.232259676E2,1.015214996E3
2.243014796E2,1.015217438E3
2.253769896E2,1.015218506E3
2.264524716E2,1.015218353E3
2.275279806E2,1.015221100E3
2.286034936E2,1.015218964E3
2.296790136E2,1.015221100E3
2.307545486E2,1.015225449E3
2.318300626E2,1.015226059E3
2.329055766E2,1.015227203E3
2.339810906E2,1.015228043E3
2.350565956E2,1.015228577E3
2.361321156E2,1.015229416E3
2.372076276E2,1.015234299E3
2.382831526E2,1.015237274E3
2.393586506E2,1.015241623E3
2.404341056E2,1.015243225E3
2.415096066E2,1.015243225E3
2.425851196E2,1.015241928E3
2.436606566E2,1.015241318E3
2.447361716E2,1.015237274E3
2.458116826E2,1.015234909E3
2.468872006E2,1.015233536E3
2.479627206E2,1.015233078E3
2.490382476E2,1.015230560E3
2.501138076E2,1.015229645E3
2.511893236E2,1.015227203E3
2.522648346E2,1.015226974E3
2.533403176E2,1.015225449E3
2.544158286E2,1.015224991E3
2.554913386E2,1.015224991E3
2.565668606E2,1.015226288E3
2.576423906E2,1.015227127E3
2.587179036E2,1.015231323E3
2.597934446E2,1.015233841E3
2.608689576E2,1.015234070E3
2.619444536E2,1.015235596E3
2.630199456E2,1.015235596E3
2.640955316E2,1.015236664E3
2.651711176E2,1.015237045E3
2.662466766E2,1.015238113E3
2.673222616E2,1.015246124E3
2.683978626E2,1.015246353E3
2.694734456E2,1.015246353E3
2.705490536E2,1.015244446E3
2.716246326E2,1.015242996E3
2.727001966E2,1.015236588E3
2.737757586E2,1.015236435E3
2.748513246E2,1.015235825E3
2.759268856E2,1.015235825E3
2.770024446E2,1.015235596E3
2.780780076E2,1.015234146E3
2.791535976E2,1.015233841E3
2.802291836E2,1.015232239E3
2.813047136E2,1.015232239E3
