"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.257675929E2,3.569091797E0,-4.656539917E1,-1.665351868E1
1.257975459E2,3.407897949E0,-4.674579620E1,-1.703308105E1
1.258274999E2,3.406166077E0,-4.731797409E1,-1.622935486E1
1.258574524E2,3.549819946E0,-4.769433594E1,-1.517373657E1
1.258874054E2,4.170349121E0,-4.899176025E1,-1.284767151E1
1.259173584E2,5.104591370E0,-4.976887512E1,-1.055408478E1
1.259473124E2,5.815635681E0,-5.058456421E1,-8.441726685E0
1.259772654E2,6.448341370E0,-5.085671997E1,-7.182090759E0
1.260072184E2,6.695564270E0,-5.082170868E1,-7.128723145E0
1.260371714E2,6.606536865E0,-5.048983002E1,-7.976776123E0
1.260671254E2,6.320373535E0,-4.996144104E1,-9.488662720E0
1.260970784E2,5.740264893E0,-4.924712372E1,-1.084499359E1
1.261270314E2,5.201812744E0,-4.826806259E1,-1.298043823E1
1.261569844E2,5.622138977E0,-4.744570160E1,-1.433639526E1
1.261869384E2,6.294769287E0,-4.714415359E1,-1.531488800E1
1.262168914E2,6.946296692E0,-4.718161392E1,-1.479943848E1
1.262468444E2,7.883499146E0,-4.790317535E1,-1.361437988E1
1.262767974E2,8.740333557E0,-4.851808929E1,-1.200494385E1
1.263067504E2,9.340293884E0,-4.908041000E1,-1.058511353E1
1.263367044E2,1.015042114E1,-4.988325500E1,-9.229484558E0
1.263666574E2,1.113020325E1,-5.089379501E1,-6.704048157E0
1.263966104E2,1.165705872E1,-5.152854919E1,-4.594963074E0
1.264265634E2,1.195563507E1,-5.200721359E1,-3.547172546E0
1.264565174E2,1.176706696E1,-5.194566727E1,-3.251701355E0
1.264864704E2,1.107355499E1,-5.208887100E1,-3.505363464E0
1.265164234E2,1.006053162E1,-5.193714905E1,-3.442893982E0
1.265463764E2,8.511970520E0,-5.175063705E1,-3.665893555E0
1.265763304E2,7.199913025E0,-5.142704391E1,-4.456649780E0
1.266062834E2,6.010063171E0,-5.119814301E1,-6.093551636E0
1.266362364E2,5.009628296E0,-5.070906067E1,-7.827026367E0
1.266661894E2,3.563285828E0,-5.071631622E1,-8.607879639E0
