"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.577102790E2,5.233487701E1,4.863903223E0,4.243811503E0,NaN,NaN,3.800000000E1,2.032620049E1
2.637178510E2,5.233485911E1,4.863905201E0,4.237532854E0,NaN,NaN,3.800000000E1,2.056372452E1
2.643042910E2,5.233485426E1,4.863905736E0,4.240350395E0,NaN,NaN,3.800000000E1,1.745240402E1
2.659553430E2,5.233485630E1,4.863905510E0,4.242071137E0,NaN,NaN,3.800000000E1,1.678687477E1
2.719648401E2,5.233487036E1,4.863903953E0,4.244976610E0,NaN,NaN,3.800000000E1,1.956765175E1
2.725446850E2,5.233487902E1,4.863902997E0,4.245895028E0,NaN,NaN,3.800000000E1,1.692232323E1
2.743579071E2,5.233485804E1,4.863905317E0,4.246524692E0,NaN,NaN,3.800000000E1,1.667563057E1
2.803694811E2,5.233486229E1,4.863904830E0,4.240143061E0,NaN,NaN,3.800000000E1,1.953727913E1
2.809362071E2,5.233486636E1,4.863904388E0,4.241645336E0,NaN,NaN,3.800000000E1,1.689441299E1
2.869436610E2,5.233477371E1,4.863914634E0,4.243109271E0,NaN,NaN,4.996678726E1,1.959701347E1
2.880143330E2,5.233471257E1,4.863921399E0,4.243731335E0,NaN,NaN,5.031113244E1,1.735333633E1
2.927006370E2,5.233482455E1,4.863909021E0,4.243977696E0,NaN,NaN,3.800000000E1,1.898372841E1
2.932530460E2,5.233483430E1,4.863907938E0,4.242688596E0,NaN,NaN,3.800000000E1,1.657928467E1
2.992607371E2,5.233484401E1,4.863906868E0,4.244886473E0,NaN,NaN,3.800000000E1,1.950789070E1
2.992698200E2,5.233484619E1,4.863906627E0,4.245778978E0,NaN,NaN,3.800000000E1,1.636307335E1
2.998309821E2,5.233485224E1,4.863905958E0,4.241903186E0,NaN,NaN,3.800000000E1,1.506834507E1
3.015116640E2,5.233485926E1,4.863905183E0,4.238792911E0,NaN,NaN,3.800000000E1,1.561816120E1
3.075175160E2,5.233487950E1,4.863902945E0,4.239637136E0,NaN,NaN,3.800000000E1,1.923538017E1
3.080445900E2,5.233486263E1,4.863904810E0,4.236796841E0,NaN,NaN,3.800000000E1,1.669451904E1
3.098288920E2,5.233485343E1,4.863905828E0,4.234862387E0,NaN,NaN,3.800000000E1,1.653791237E1
3.158365810E2,5.233486603E1,4.863904434E0,4.238517672E0,NaN,NaN,3.800000000E1,1.949617577E1
3.164013710E2,5.233487180E1,4.863903796E0,4.234535202E0,NaN,NaN,3.800000000E1,1.687051201E1
3.180431250E2,5.233485445E1,4.863905715E0,4.231951147E0,NaN,NaN,3.800000000E1,1.649061394E1
3.240553041E2,5.233485156E1,4.863906037E0,4.231990293E0,NaN,NaN,3.800000000E1,1.948525429E1
3.245343790E2,5.233485203E1,4.863905983E0,4.234773532E0,NaN,NaN,3.800000000E1,1.678802872E1
3.263927790E2,5.233485649E1,4.863905490E0,4.236650556E0,NaN,NaN,3.800000000E1,1.665216446E1
3.323977990E2,5.233487651E1,4.863903276E0,4.234006360E0,NaN,NaN,3.800000000E1,1.952707100E1
3.329017920E2,5.233491255E1,4.863899292E0,4.237281546E0,NaN,NaN,3.800000000E1,1.683318520E1
3.346932530E2,5.233487588E1,4.863903348E0,4.238747567E0,NaN,NaN,3.800000000E1,1.661227417E1
3.410129000E2,5.233487348E1,4.863903609E0,4.240325347E0,NaN,NaN,3.800000000E1,1.968450356E1
3.416012890E2,5.233487525E1,4.863903416E0,4.240847543E0,NaN,NaN,3.800000000E1,1.699241638E1
3.433948650E2,5.233484785E1,4.863906447E0,4.241211340E0,NaN,NaN,3.800000000E1,1.669164276E1
3.509092400E2,5.233484381E1,4.863906889E0,4.241767257E0,NaN,NaN,3.800000000E1,2.029557228E1
3.515113831E2,5.233485325E1,4.863906000E0,4.239402890E0,NaN,NaN,3.800000000E1,1.732624626E1
3.532978261E2,5.233480421E1,4.863911803E0,4.237946108E0,NaN,NaN,3.800000000E1,1.684668350E1
3.593076880E2,5.233483654E1,4.863907799E0,4.240892678E0,NaN,NaN,3.800000000E1,1.958478737E1
3.598812801E2,5.233484756E1,4.863906507E0,4.239921525E0,NaN,NaN,3.800000000E1,1.692604256E1
3.615145711E2,5.233486253E1,4.863904784E0,4.239284009E0,NaN,NaN,3.800000000E1,1.651029587E1
3.675233971E2,5.233488687E1,4.863902085E0,4.241475374E0,NaN,NaN,3.800000000E1,1.948898315E1
3.680381601E2,5.233486601E1,4.863904423E0,4.239127755E0,NaN,NaN,3.800000000E1,1.682206535E1
3.698339851E2,5.233485333E1,4.863905850E0,4.237554595E0,NaN,NaN,3.800000000E1,1.661090088E1
3.758418671E2,5.233486396E1,4.863904622E0,4.239408389E0,NaN,NaN,3.800000000E1,1.951694489E1
3.764444630E2,5.233486908E1,4.863904074E0,4.241450027E0,NaN,NaN,3.800000000E1,1.691509819E1
3.782317181E2,5.233484776E1,4.863906439E0,4.242823124E0,NaN,NaN,3.800000000E1,1.664827347E1
3.842351750E2,5.233484755E1,4.863906461E0,4.242654338E0,NaN,NaN,3.800000000E1,1.952511787E1
3.846489630E2,5.233484936E1,4.863906270E0,4.242441773E0,NaN,NaN,3.800000000E1,1.675105667E1
3.863374671E2,5.233485517E1,4.863905631E0,4.242296442E0,NaN,NaN,3.800000000E1,1.647547150E1
3.923446190E2,5.233487455E1,4.863903490E0,4.239548743E0,NaN,NaN,3.800000000E1,1.947820854E1
3.928494620E2,5.233488157E1,4.863902714E0,4.241521716E0,NaN,NaN,3.800000000E1,1.680731201E1
3.946476201E2,5.233485819E1,4.863905300E0,4.242864802E0,NaN,NaN,3.800000000E1,1.660587883E1
4.006588160E2,5.233486445E1,4.863904607E0,4.231098741E0,NaN,NaN,3.800000000E1,1.951733017E1
4.011941381E2,5.233486692E1,4.863904333E0,4.235451922E0,NaN,NaN,3.800000000E1,1.685579681E1
4.028755560E2,5.233487241E1,4.863903725E0,4.238309771E0,NaN,NaN,3.800000000E1,1.652069283E1
4.088816711E2,5.233485387E1,4.863905758E0,4.238649830E0,NaN,NaN,3.800000000E1,1.949044037E1
4.094564000E2,5.233484778E1,4.863906390E0,4.237938091E0,NaN,NaN,3.800000000E1,1.687622452E1
4.109772180E2,5.233484660E1,4.863906463E0,4.237482339E0,NaN,NaN,3.800000000E1,1.637813759E1
4.169845310E2,5.233486473E1,4.863904528E0,4.240991861E0,NaN,NaN,3.800000000E1,1.945075607E1
4.174014460E2,5.233487356E1,4.863903575E0,4.243449539E0,NaN,NaN,3.800000000E1,1.671278572E1
4.188402821E2,5.233485388E1,4.863905767E0,4.243883982E0,NaN,NaN,3.800000000E1,1.621445084E1
4.248493971E2,5.233485465E1,4.863905696E0,4.241353661E0,NaN,NaN,3.800000000E1,1.940547180E1
4.252677730E2,5.233485697E1,4.863905440E0,4.240649536E0,NaN,NaN,3.800000000E1,1.668903160E1
4.266794341E2,5.233486288E1,4.863904788E0,4.240191460E0,NaN,NaN,3.800000000E1,1.617518997E1
4.326880931E2,5.233487898E1,4.863903017E0,4.236251533E0,NaN,NaN,3.800000000E1,1.939412308E1
4.332675960E2,5.233486245E1,4.863904843E0,4.234537959E0,NaN,NaN,3.800000000E1,1.682841682E1
4.346991861E2,5.233485051E1,4.863906145E0,4.233437121E0,NaN,NaN,3.800000000E1,1.626698685E1
4.407087541E2,5.233486103E1,4.863904993E0,4.233440831E0,NaN,NaN,3.800000000E1,1.942057419E1
