"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.375837049E2,5.233494065E1,4.863927931E0,4.677917600E0,NaN,NaN,3.500000000E1,1.944011307E1
3.378250960E2,5.233493967E1,4.863926947E0,4.687592685E0,NaN,NaN,3.500000000E1,1.654471588E1
3.438341269E2,5.233490457E1,4.863911058E0,4.660204589E0,NaN,NaN,3.500000000E1,1.949883842E1
3.472930599E2,5.233490063E1,4.863907100E0,4.645195186E0,NaN,NaN,3.500000000E1,1.898859978E1
3.533010260E2,5.233489719E1,4.863909449E0,4.682605505E0,NaN,NaN,3.500000000E1,2.018964577E1
3.537085780E2,5.233489788E1,4.863910003E0,4.691916168E0,NaN,NaN,3.500000000E1,1.710758209E1
3.554062890E2,5.233489904E1,4.863910147E0,4.697874665E0,NaN,NaN,3.500000000E1,1.666002655E1
3.614165111E2,5.233492869E1,4.863924310E0,4.711545527E0,NaN,NaN,3.500000000E1,1.953212738E1
3.615343280E2,5.233493046E1,4.863924812E0,4.717157781E0,NaN,NaN,3.500000000E1,1.648112488E1
3.675420340E2,5.233494001E1,4.863928305E0,4.717876494E0,NaN,NaN,3.500000000E1,1.948011208E1
3.678519000E2,5.233493980E1,4.863927840E0,4.720028043E0,NaN,NaN,3.500000000E1,1.663100624E1
3.738603140E2,5.233490625E1,4.863912638E0,4.706476688E0,NaN,NaN,3.500000000E1,1.952292824E1
3.744339360E2,5.233490210E1,4.863910431E0,4.693524063E0,NaN,NaN,3.500000000E1,1.689276505E1
3.761063490E2,5.233489945E1,4.863908464E0,4.685053647E0,NaN,NaN,3.500000000E1,1.653054810E1
3.821161799E2,5.233490569E1,4.863903590E0,4.694582701E0,NaN,NaN,3.500000000E1,1.949526596E1
3.826742980E2,5.233491200E1,4.863903915E0,4.704758942E0,NaN,NaN,3.500000000E1,1.686410141E1
3.843198750E2,5.233490170E1,4.863907515E0,4.711422622E0,NaN,NaN,3.500000000E1,1.649103355E1
3.903312130E2,5.233490349E1,4.863906385E0,4.683214307E0,NaN,NaN,3.500000000E1,1.948491096E1
3.908155800E2,5.233490546E1,4.863907019E0,4.703506649E0,NaN,NaN,3.500000000E1,1.679259872E1
3.924198411E2,5.233490794E1,4.863906557E0,4.716819108E0,NaN,NaN,3.500000000E1,1.641599655E1
3.984296470E2,5.233494554E1,4.863921289E0,4.715345502E0,NaN,NaN,3.500000000E1,1.946284103E1
3.984778800E2,5.233493203E1,4.863925926E0,4.724451125E0,NaN,NaN,3.500000000E1,1.637437248E1
4.044866580E2,5.233492382E1,4.863923848E0,4.735886812E0,NaN,NaN,3.500000000E1,1.945050049E1
4.046199150E2,5.233491835E1,4.863921920E0,4.740625679E0,NaN,NaN,3.500000000E1,1.644859314E1
4.106252410E2,5.233492045E1,4.863920452E0,4.717938066E0,NaN,NaN,3.500000000E1,1.946959686E1
4.107627890E2,5.233492019E1,4.863919526E0,4.710828900E0,NaN,NaN,3.500000000E1,1.646370888E1
4.167715110E2,5.233492182E1,4.863914683E0,4.690794826E0,NaN,NaN,3.500000000E1,1.947574425E1
4.169435570E2,5.233493062E1,4.863922074E0,4.683498561E0,NaN,NaN,3.500000000E1,1.649989700E1
4.229499340E2,5.233493271E1,4.863918518E0,4.675618410E0,NaN,NaN,3.500000000E1,1.948469543E1
4.231273320E2,5.233493303E1,4.863917961E0,4.672345698E0,NaN,NaN,3.500000000E1,1.651008034E1
4.291359510E2,5.233492656E1,4.863924129E0,4.690862000E0,NaN,NaN,3.500000000E1,1.948880768E1
4.293258170E2,5.233492414E1,4.863925951E0,4.698554158E0,NaN,NaN,3.500000000E1,1.652416611E1
4.353345510E2,5.233490772E1,4.863923510E0,4.713652968E0,NaN,NaN,3.500000000E1,1.949285889E1
4.386009589E2,5.233489522E1,4.863916850E0,4.700176299E0,NaN,NaN,3.500000000E1,1.886845589E1
4.446097651E2,5.233489536E1,4.863911262E0,4.715756655E0,NaN,NaN,3.500000000E1,2.015621185E1
4.451160730E2,5.233490045E1,4.863909499E0,4.691403806E0,NaN,NaN,3.500000000E1,1.717337418E1
4.467178720E2,5.233490441E1,4.863907819E0,4.676098824E0,NaN,NaN,3.500000000E1,1.660402489E1
4.527271219E2,5.233492134E1,4.863912190E0,4.644438028E0,NaN,NaN,3.500000000E1,1.951574516E1
4.527491020E2,5.233492606E1,4.863914014E0,4.631575704E0,NaN,NaN,3.500000000E1,1.638011742E1
4.587563010E2,5.233494336E1,4.863900611E0,4.674530864E0,NaN,NaN,3.500000000E1,1.945125389E1
4.592134490E2,5.233491840E1,4.863905814E0,4.675200522E0,NaN,NaN,3.500000000E1,1.674958611E1
4.608143780E2,5.233490965E1,4.863907230E0,4.675631821E0,NaN,NaN,3.500000000E1,1.639119148E1
4.668242940E2,5.233492088E1,4.863912884E0,4.687836170E0,NaN,NaN,3.500000000E1,1.945588684E1
4.671184061E2,5.233492240E1,4.863915060E0,4.692988813E0,NaN,NaN,3.500000000E1,1.660278893E1
4.731263130E2,5.233492152E1,4.863907564E0,4.701520085E0,NaN,NaN,3.500000000E1,1.951466179E1
4.736130790E2,5.233490827E1,4.863909041E0,4.706033647E0,NaN,NaN,3.500000000E1,1.681101418E1
