"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.258294070E2,5.233494811E1,4.863896669E0,3.471209645E0,NaN,NaN,3.800000000E1,1.765553284E1
2.318401209E2,5.233494735E1,4.863894877E0,3.503063321E0,NaN,NaN,3.800000000E1,1.981437683E1
2.322452639E2,5.233494743E1,4.863895071E0,3.471280098E0,NaN,NaN,3.800000000E1,1.690217590E1
2.339287620E2,5.233494740E1,4.863894952E0,3.450491369E0,NaN,NaN,3.800000000E1,1.654560089E1
2.399351439E2,5.233494691E1,4.863894686E0,3.483694375E0,NaN,NaN,3.800000000E1,1.949763680E1
2.404490060E2,5.233494716E1,4.863895030E0,3.484901786E0,NaN,NaN,3.800000000E1,1.682597160E1
2.421448549E2,5.233494712E1,4.863895160E0,3.485699475E0,NaN,NaN,3.800000000E1,1.651950264E1
2.481558950E2,5.233494723E1,4.863894994E0,3.550907671E0,NaN,NaN,3.800000000E1,1.949280357E1
2.485430390E2,5.233494738E1,4.863895196E0,3.574199140E0,NaN,NaN,3.800000000E1,1.670897293E1
2.502689370E2,5.233494743E1,4.863895246E0,3.589847088E0,NaN,NaN,3.800000000E1,1.649003601E1
2.567818930E2,5.233495016E1,4.863902827E0,3.583877563E0,NaN,NaN,3.800000000E1,1.975260353E1
2.627909670E2,5.233494879E1,4.863898176E0,3.576734483E0,NaN,NaN,3.800000000E1,2.040452385E1
2.634506199E2,5.233494809E1,4.863896522E0,3.575617373E0,NaN,NaN,3.800000000E1,1.742932892E1
2.651288550E2,5.233494742E1,4.863895372E0,3.574929833E0,NaN,NaN,3.800000000E1,1.679999733E1
2.711394069E2,5.233494738E1,4.863894926E0,3.524065256E0,NaN,NaN,3.800000000E1,1.957193756E1
2.716819680E2,5.233494748E1,4.863895161E0,3.502303421E0,NaN,NaN,3.800000000E1,1.689177322E1
2.733437090E2,5.233494754E1,4.863895285E0,3.488087833E0,NaN,NaN,3.800000000E1,1.652002907E1
2.793542759E2,5.233495595E1,4.863916354E0,3.487926364E0,NaN,NaN,3.800000000E1,1.949269295E1
