"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.828906580E2,5.233489013E1,4.863912966E0,4.763766587E0,NaN,NaN,3.500000000E1,1.625229073E1
1.888995310E2,5.233484187E1,4.863927706E0,4.767452061E0,NaN,NaN,3.933333333E1,1.941603279E1
1.893007540E2,5.233488302E1,4.863915141E0,4.757883787E0,NaN,NaN,3.500000000E1,1.667919922E1
1.905700730E2,5.233489703E1,4.863910863E0,4.751801133E0,NaN,NaN,3.500000000E1,1.602663422E1
1.965793040E2,5.233484397E1,4.863927071E0,4.745482087E0,NaN,NaN,3.933333333E1,1.935248375E1
1.969822030E2,5.233487705E1,4.863916965E0,4.755336702E0,NaN,NaN,3.500000000E1,1.664538574E1
1.984548910E2,5.233488577E1,4.863914299E0,4.761822939E0,NaN,NaN,3.500000000E1,1.621318436E1
2.044635410E2,5.233483820E1,4.863928835E0,4.768423378E0,NaN,NaN,3.933333333E1,1.940485382E1
2.051082129E2,5.233488320E1,4.863915085E0,4.769705236E0,NaN,NaN,3.500000000E1,1.689208794E1
2.065243980E2,5.233489794E1,4.863910581E0,4.770529568E0,NaN,NaN,3.500000000E1,1.628474998E1
2.125331830E2,5.233484450E1,4.863926910E0,4.771387458E0,NaN,NaN,3.933333333E1,1.942515945E1
2.129319229E2,5.233486660E1,4.863919987E0,4.773564041E0,NaN,NaN,3.500000000E1,1.668199730E1
2.143635200E2,5.233487404E1,4.863917640E0,4.774990380E0,NaN,NaN,3.500000000E1,1.619136047E1
2.215071820E2,5.233483052E1,4.863931087E0,4.776547253E0,NaN,NaN,3.933333333E1,1.999501610E1
2.219072059E2,5.233487216E1,4.863918427E0,4.778262377E0,NaN,NaN,3.500000000E1,1.699602318E1
2.232829000E2,5.233488388E1,4.863914871E0,4.779347777E0,NaN,NaN,3.500000000E1,1.629895020E1
2.292916780E2,5.233483982E1,4.863928363E0,4.780457735E0,NaN,NaN,3.933333333E1,1.942917061E1
2.296899160E2,5.233488398E1,4.863914858E0,4.767597914E0,NaN,NaN,3.500000000E1,1.668376541E1
2.310088390E2,5.233489889E1,4.863910303E0,4.759358048E0,NaN,NaN,3.500000000E1,1.607941246E1
2.370124650E2,5.233484586E1,4.863926515E0,4.750871420E0,NaN,NaN,3.933333333E1,1.936423492E1
2.374236400E2,5.233486432E1,4.863921035E0,4.751514375E0,NaN,NaN,3.500000000E1,1.665953827E1
2.387333760E2,5.233486967E1,4.863919466E0,4.751937270E0,NaN,NaN,3.500000000E1,1.605732346E1
2.447407340E2,5.233483156E1,4.863930977E0,4.752391160E0,NaN,NaN,3.933333333E1,1.936009407E1
2.451393480E2,5.233486783E1,4.863920044E0,4.753653765E0,NaN,NaN,3.500000000E1,1.664567757E1
2.466196209E2,5.233488008E1,4.863916363E0,4.754496157E0,NaN,NaN,3.500000000E1,1.622083282E1
2.526265930E2,5.233483818E1,4.863928963E0,4.755368471E0,NaN,NaN,3.933333333E1,1.940608025E1
2.531879100E2,5.233486309E1,4.863921455E0,4.753332198E0,NaN,NaN,3.500000000E1,1.681863976E1
2.544127530E2,5.233487173E1,4.863918853E0,4.752069235E0,NaN,NaN,3.500000000E1,1.605563354E1
2.604177160E2,5.233483467E1,4.863929986E0,4.763066709E0,NaN,NaN,3.933333333E1,1.935826874E1
2.609523870E2,5.233488439E1,4.863914743E0,4.769601166E0,NaN,NaN,3.500000000E1,1.676868629E1
2.622523710E2,5.233488704E1,4.863913908E0,4.773770034E0,NaN,NaN,3.500000000E1,1.610508537E1
2.682611240E2,5.233484168E1,4.863927720E0,4.778075695E0,NaN,NaN,3.933333333E1,1.937436867E1
