"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.694982081E2,-6.324253082E0,4.709927368E1,-1.331449509E1
2.695280451E2,-6.953800678E0,4.704237366E1,-1.479925156E1
2.695578811E2,-7.480063915E0,4.678130341E1,-1.524178314E1
2.695877181E2,-8.235329628E0,4.669022369E1,-1.612589264E1
2.696175541E2,-9.280759811E0,4.657630157E1,-1.694969177E1
2.696473911E2,-1.056103325E1,4.636014557E1,-1.656477737E1
2.696772271E2,-1.152217484E1,4.631839752E1,-1.657524490E1
2.697070641E2,-1.255959129E1,4.631439972E1,-1.563681030E1
2.697369001E2,-1.303364182E1,4.652353668E1,-1.575643539E1
2.697667361E2,-1.285002136E1,4.656666565E1,-1.539440918E1
2.697965731E2,-1.305134201E1,4.677643585E1,-1.384981537E1
2.698264091E2,-1.272099876E1,4.668695068E1,-1.350255966E1
2.698562461E2,-1.249247932E1,4.658034515E1,-1.311606979E1
2.698860821E2,-1.230807781E1,4.682955933E1,-1.347074890E1
2.699159191E2,-1.198766327E1,4.690181732E1,-1.408788300E1
2.699457551E2,-1.202983093E1,4.668005371E1,-1.463630676E1
2.699755911E2,-1.286179543E1,4.638700104E1,-1.622128677E1
2.700054281E2,-1.386894035E1,4.607836914E1,-1.713522339E1
2.700352641E2,-1.454332733E1,4.553733826E1,-1.808110428E1
2.700651011E2,-1.451644135E1,4.499807739E1,-1.977660751E1
2.700949371E2,-1.404199982E1,4.493145752E1,-2.058313751E1
2.701247749E2,-1.284033394E1,4.496131134E1,-2.056045914E1
2.701546109E2,-1.161364841E1,4.516324615E1,-2.024312210E1
2.701844479E2,-1.023320770E1,4.533853912E1,-1.923215866E1
2.702142839E2,-9.088422775E0,4.550908661E1,-1.863994980E1
2.702441199E2,-7.945234299E0,4.607589722E1,-1.742272568E1
2.702739569E2,-8.198579788E0,4.598765564E1,-1.737126160E1
2.703037929E2,-9.190273285E0,4.591609192E1,-1.880709457E1
2.703336299E2,-1.156248093E1,4.475046539E1,-2.071092987E1
2.703634659E2,-1.365409088E1,4.412799072E1,-2.180498123E1
2.703933029E2,-1.595358467E1,4.308505249E1,-2.248915863E1
2.704231389E2,-1.748406410E1,4.266510010E1,-2.214183807E1
2.704529759E2,-1.778757095E1,4.263979340E1,-2.168133926E1
2.704828119E2,-1.748618317E1,4.345750427E1,-2.101848221E1
2.705126479E2,-1.634315872E1,4.429486084E1,-1.955871582E1
